"","barrio","comunitario","contacto","en_investigacion","importado","trabajador_de_la_salud","na","total"
"1","AGRONOMIA",1223,111,138,3,34,4,1513
"2","ALMAGRO",14296,2596,1830,17,928,41,19708
"3","BALVANERA",16852,3377,2799,20,1042,66,24156
"4","BARRACAS",11660,3163,1449,2,382,10,16666
"5","BELGRANO",14555,1105,876,17,453,62,17068
"6","BOCA",6407,1175,733,1,236,7,8559
"7","BOEDO",5202,806,679,2,206,17,6912
"8","CABALLITO",17948,2897,1957,15,905,68,23790
"9","CHACARITA",3607,749,455,1,131,6,4949
"10","COGHLAN",2004,137,126,3,77,2,2349
"11","COLEGIALES",5296,512,427,7,210,16,6468
"12","CONSTITUCION",5778,1167,838,5,268,14,8070
"13","FLORES",16387,4557,3184,17,798,38,24981
"14","FLORESTA",3432,789,679,3,149,6,5058
"15","LINIERS",4927,653,520,2,209,8,6319
"16","MATADEROS",7607,937,747,5,236,7,9539
"17","MONSERRAT",5222,819,708,5,225,23,7002
"18","MONTE CASTRO",2848,719,550,1,117,2,4237
"19","NUEVA POMPEYA",6029,1169,599,1,352,9,8159
"20","NUÃ‘EZ",5729,381,367,2,162,12,6653
"21","PALERMO",27124,2900,2378,46,1162,133,33743
"22","PARQUE AVELLANEDA",5680,1267,912,5,241,9,8114
"23","PARQUE CHACABUCO",5927,1092,786,3,247,14,8069
"24","PARQUE CHAS",1662,335,229,2,63,3,2294
"25","PARQUE PATRICIOS",5822,818,612,2,288,13,7555
"26","PATERNAL",2179,579,349,1,101,2,3211
"27","PUERTO MADERO",1222,198,109,2,22,6,1559
"28","RECOLETA",17863,2428,1889,35,938,115,23268
"29","RETIRO",6819,1974,825,8,178,53,9857
"30","SAAVEDRA",5093,425,397,5,160,6,6086
"31","SAN CRISTOBAL",5860,995,844,8,350,11,8068
"32","SAN NICOLAS",5043,683,656,8,224,11,6625
"33","SAN TELMO",2636,360,273,3,74,6,3352
"34","VELEZ SARSFIELD",3066,737,628,1,149,2,4583
"35","VERSALLES",1332,281,208,1,49,4,1875
"36","VILLA CRESPO",9374,1442,1027,11,457,20,12331
"37","VILLA DEL PARQUE",5588,594,556,6,195,21,6960
"38","VILLA DEVOTO",7107,703,597,11,184,19,8621
"39","VILLA GRAL. MITRE",3480,598,502,4,138,12,4734
"40","VILLA LUGANO",14669,3433,1526,6,646,8,20288
"41","VILLA LURO",3233,666,522,4,127,5,4557
"42","VILLA ORTUZAR",2192,308,248,NA,88,10,2846
"43","VILLA PUEYRREDON",3919,352,344,4,129,3,4751
"44","VILLA REAL",1238,231,190,4,39,1,1703
"45","VILLA RIACHUELO",2258,246,186,2,78,NA,2770
"46","VILLA SANTA RITA",3072,572,554,2,124,2,4326
"47","VILLA SOLDATI",5637,1721,777,2,231,6,8374
"48","VILLA URQUIZA",10210,965,843,13,374,24,12429
